feature,importance_rf,importance_gb
all_damage_done,0.07414581519680154,0.003250884106296561
assists,0.05140879007244921,0.004886547666695963
average_time_alive,0.09648193788674224,0.005224869544294103
deaths,0.050131492623453955,0.0029460183059515544
eliminations,0.056747522962494884,0.005789637441368282
objective_time,0.06974590317395044,0.0027942668425845326
healing_done,0.028483580737551417,0.0008784436883159067
map_type_ASSAULT,0.00639412030646953,9.99762519771672e-06
map_type_CONTROL,0.00703342501905798,0.0005162179454758642
map_type_HYBRID,0.006225759850090484,0.0
map_type_PAYLOAD,0.006699062483661669,0.00026534554409861935
map_name_Blizzard World,0.006154440402752676,0.003491749767590522
map_name_Busan,0.006221639346771619,0.00984495462018594
map_name_Dorado,0.004200473647191972,0.007351654006717158
map_name_Eichenwalde,0.004843282136850151,0.0023420285989474224
map_name_Hanamura,0.006699059125853025,0.01080677074868268
map_name_Havana,0.0020473799082891216,0.004468318531867552
map_name_Hollywood,0.00798297222799432,0.01823673610428027
map_name_Horizon Lunar Colony,0.0017040714827034878,0.0024398399713746505
map_name_Ilios,0.007974111076495915,0.010848681993876565
map_name_Junkertown,0.005025600892693516,0.0023812444017821325
map_name_King's Row,0.005647129617864485,0.0038446805494651163
map_name_Lijiang Tower,0.007434223293770596,0.021387314449551328
map_name_Nepal,0.007600011246641986,0.00974172539596802
map_name_Numbani,0.0032264235560851328,0.0018038734992208484
map_name_Oasis,0.0063379515792986755,0.0014570298676643463
map_name_Paris,0.003672454196478484,0.001806417996955528
map_name_Rialto,0.005594904281003629,0.0027193451247532223
map_name_Route 66,0.003696448073750382,0.0006487504332289777
map_name_Temple of Anubis,0.006346393405050412,0.012955186175211096
map_name_Volskaya Industries,0.007892859524641516,0.02291438149118158
map_name_Watchpoint: Gibraltar,0.005992661186253174,0.010587491418199174
player_name_ANS,0.0008485880473257105,0.0004429371159901848
player_name_ATing,0.0002509769525653017,0.0
player_name_Ado,3.9634054487817457e-05,0.0
player_name_Adora,0.0006212232327932042,0.0
player_name_Agilities,0.001003092561859077,0.0
player_name_AimGod,0.0007626763026742354,0.0
player_name_Alarm,0.00303364051198266,0.0
player_name_Although,0.0008276629489858783,0.00290735147988752
player_name_Anamo,0.0007304043345869296,0.0
player_name_Apply,0.0003117188004510209,0.00037862933054264887
player_name_ArK,0.0006982933018947775,0.0
player_name_Architect,0.0011344974931649702,0.0
player_name_BEBE,0.0005038574240572755,0.0
player_name_BERNAR,0.0007795087433852103,0.0
player_name_Babel,0.0004956915437231463,0.0
player_name_Baconjack,0.00025292447435409525,0.0
player_name_Bazzi,0.0002527982877142351,0.0
player_name_Bdosin,0.0006652630868644583,0.0
player_name_Beast,0.0009018202515583049,0.0
player_name_BenBest,0.001612030233104082,0.0
player_name_BigG00se,0.0005023292964539726,0.0
player_name_Birdring,0.0007665244621710743,0.0
player_name_Boombox,0.0004958673305231229,0.0
player_name_Carcar,0.0004230470039102412,0.0
player_name_Chara,0.0013567027067501855,0.0006588806583034469
player_name_ChipSa,3.0381508737035954e-08,0.0
player_name_Choihyobin,0.0006333351957359279,0.0
player_name_Clestyn,0.0005497391057062165,0.0
player_name_Closer,0.00030478879203124865,0.0
player_name_ColdesT,2.8987327789305795e-05,0.0
player_name_ColourHex,0.0012538445374320978,0.0
player_name_Corey,0.000968165300278161,0.0
player_name_Cr0ng,0.0010452871808187825,0.0
player_name_Creative,3.895102857741167e-05,0.0
player_name_Crimzo,0.0004280678744235242,0.0
player_name_DDing,0.00026313921092015224,0.0004372427569865044
player_name_DREAMER,0.0006313513242755228,0.0
player_name_Dalton,0.0007821286021310445,0.0
player_name_Danteh,0.0010737578353791904,0.0
player_name_Decay,0.0005326892933251776,0.0
player_name_Dogman,0.0010317129914232503,0.0
player_name_Doha,0.0006668295982081862,0.0
player_name_ELLIVOTE,0.000556418247417537,0.0
player_name_Edison,0.001108516501777798,0.0
player_name_Eileen,0.0013484080906478132,0.0
player_name_Elsa,0.0004418458916263588,0.0
player_name_Erster,0.0008168890387699833,0.0
player_name_FDGod,0.0025031828073346423,0.0
player_name_FEARLESS,0.001114967574461479,0.0
